county_FIPS,state_FIPS,state_abbr,RegionID,SizeRank,home_values_Jan_2000,home_values_Dec_2021,home_values_Dec_2022,state_county_FIPS,county_name,state,POPULATION,BUILDVALUE,AGRIVALUE,AREA,risk_index_score,risk_index_rating,exp_annual_loss_score,exp_annual_loss_rating,soc_vul_score,soc_vul_rating,comm_res_score,comm_res_rating,coastal_flooding_score,coastal_flooding_rating,drought_score,drought_rating,heatwave_score,heatwave_rating,hurricane_score,hurricane_rating,lightning_score,lightning_rating,river_flooding_score,river_flooding_rating,tornado_scores,tornado_rating,wildfire_rating,wildfire_rating,winterweather_score,winterweather_rating,SHAPE_Length,SHAPE_Area
37,6,CA,3101,0,217219.0,821138.0,845596.0,6037,Los Angeles,California,9818605,950975224000,154608000,4058.07675187911,100.0,Very High,100.0,Very High,44.895545920378396,Relatively High,51.8922,Relatively Low,2.94309868147344,Very Low,0.48558939467969603,Very Low,17.973939911167,Relatively High,,Not Applicable,33.3570881840393,Relatively High,20.4463233096438,Relatively High,37.0599788397605,Relatively High,89.59134790613459,Very High,14.518174149379899,Relatively Low,8.49304597923378,1.03660541709518
31,17,IL,139,1,173902.0,294321.0,312317.0,17031,Cook,Illinois,5194675,655385994000,19690000,944.968893968913,44.299763960881904,Very High,48.740579066574604,Very High,43.0429641308632,Relatively Moderate,54.735597999999996,Relatively Moderate,0.0,No Rating,2.81916272969436,Very Low,67.7206682034867,Very High,10.053292456847698,Relatively Low,44.24024885564901,Relatively High,40.8552484250814,Very High,91.8894008946411,Very High,1.99787718078155,Very Low,56.4174232363505,Very High,3.18613445083256,0.268912377791988
201,48,TX,1090,2,115286.0,258440.0,289591.0,48201,Harris,Texas,4092459,447922146000,50612000,1704.9189161065601,80.6185359611344,Very High,93.6364726920731,Very High,38.9042175798187,Relatively Moderate,52.227802000000004,Relatively Low,20.6790607408198,Relatively Moderate,13.7866958204072,Relatively Moderate,23.4841356455377,Relatively High,100.0,Very High,60.9159080763647,Very High,100.0,Very High,100.0,Very High,11.810343949094902,Relatively Low,65.3346208560084,Very High,3.87994475009623,0.42980422779791205
13,4,AZ,2402,3,142739.0,433465.0,451699.0,4013,Maricopa,Arizona,3817117,399690415000,1209132000,9199.21712978694,25.446048677273804,Relatively High,30.085300975970398,Relatively High,37.9582183681514,Relatively Moderate,51.866997999999995,Relatively Low,,Not Applicable,0.655957520741028,Very Low,34.662654941259106,Relatively High,7.137097178674519,Relatively Low,33.407561979959,Relatively High,20.728802549235603,Relatively High,19.6960504437893,Relatively Moderate,41.92499134895429,Relatively High,6.538783234065701,Very Low,8.119691065827611,2.3141100850550402
73,6,CA,2841,4,225274.0,824324.0,874095.0,6073,San Diego,California,3095313,328112129000,831420000,4208.0436629080605,43.129133507359,Very High,59.7957082526022,Very High,32.2033898305085,Relatively Low,51.603398,Relatively Low,2.0363422408671696,Very Low,3.8828729615283595,Very Low,13.6798964448856,Relatively Moderate,1.7711822408316897,Very Low,10.624287867041401,Relatively Low,18.9291783361882,Relatively High,19.2034481971528,Relatively Moderate,83.8305727408719,Very High,6.9004594009640705,Very Low,6.4536817498448,1.05906366982601
59,6,CA,1286,5,272774.0,972280.0,1033891.0,6059,Orange,California,3010232,332301674000,82507000,790.902412908076,39.07932101809789,Relatively High,61.14383180736421,Very High,28.813559322033896,Relatively Low,52.104602,Relatively Low,1.76880746524531,Very Low,1.81649058871945,Very Low,5.97688286538565,Relatively Low,,Not Applicable,13.2588648845686,Relatively Low,17.8525294761699,Relatively Moderate,15.9803380667083,Relatively Low,37.4427821776431,Relatively High,1.2041355616054599,Very Low,2.43843239905681,0.20123843516444798
86,12,FL,2964,6,131046.0,407540.0,498818.0,12086,Miami-Dade,Florida,2496435,262166867000,837734000,1898.66236378863,63.926383965244504,Very High,46.243703237610795,Very High,63.8549467875443,Very High,53.389602000000004,Relatively Moderate,94.0079758857288,Very High,31.269856469584997,Relatively High,0.0,No Rating,58.9336383596184,Very High,100.0,Very High,77.205271729164,Very High,76.7611225414685,Very High,54.4518228742521,Relatively High,0.0,No Rating,9.788796677793599,0.460775781629648
113,48,TX,978,7,115163.0,290338.0,329043.0,48113,Dallas,Texas,2368139,271380201000,29781000,872.095210593701,42.9683544189223,Very High,45.86672490600579,Very High,42.8458809617659,Relatively Moderate,52.861000000000004,Relatively Low,,Not Applicable,6.43008734480076,Relatively Low,37.6227774436209,Relatively High,6.76840696099329,Relatively Low,36.1132269806805,Relatively High,25.544472463519,Relatively High,82.59301644832858,Very High,10.461789658005301,Relatively Low,31.6473864775807,Relatively High,1.91198607904029,0.22647276497131602
47,36,NY,581,8,227241.0,838690.0,884003.0,36047,Kings,New York,2504700,252076268000,0,69.371794606094,50.4837423007334,Very High,32.0313712450798,Relatively High,68.8608592826173,Very High,50.4986,Relatively Low,79.96958948304301,Very High,0.0,No Rating,68.8612719856198,Very High,19.4145024609917,Relatively Moderate,37.2463056093237,Relatively High,46.59884860119001,Very High,57.4732385964095,Very High,1.0243793264028,Very Low,45.156634410779105,Very High,1.89134709413791,0.0192458557944429
65,6,CA,2832,9,160739.0,551979.0,598728.0,6065,Riverside,California,2189641,200479775000,931982000,7206.32508601953,58.865953014949206,Very High,64.9857158406956,Very High,40.362633031139104,Relatively Moderate,51.501598,Relatively Low,,Not Applicable,5.6971028680405595,Relatively Low,21.474016860741397,Relatively High,2.10077530598556,Very Low,15.2950837988755,Relatively Low,30.2722060943219,Relatively High,19.2818982732403,Relatively Moderate,100.0,Very High,9.262612094981641,Relatively Low,7.95065148816052,1.8403984331296497
